User,Nights,Cycles,Priority,Ref,ExposureTime,Exposures,Target,Ra,Dec,Magnitude,Separation,Template,Completed_nights,Completed_cycles
Nick,2,3,20,false,0.5,10,"22280+5742",336.9916224,57.6941974,10.8,0.875,,0,0
Russ,2,3,73,false,0.25,10,"None",311.5549963,33.9714572,11.2,0.678,,0,0
Dave,2,3,103,true,0.05,10,"22234+3228",335.8726117,32.4583384,12.4,0.538,,0,0
Pat,2,3,126,false,0.3,10,"23409+2022",355.215343,20.3658181,11.5,0.932,,0,0
Leon,2,3,131,false,0.08,10,"23350+0136",353.7525891,1.6058483,9.7,0.844,,0,0
Sophia,2,3,148,false,0.4,10,"23506+0957",357.6538329,9.9492276,8.7,0.722,,0,0
Kalee,2,3,221,true,0.1,10,"20182+2912",304.5563133,29.2037276,12.5,0.695,,0,0
Scott,2,3,242,false,0.35,10,"None",323.0925844,24.5614253,11.9,0.883,,0,0
Leon,2,3,242,false,0.35,10,"None",253.92769311,-28.44298059,10.4,0.653,,0,0
Nick,2,3,20,false,0.5,10,"22280+5742",336.9916224,57.6941974,10.8,0.875,,0,0
Russ,2,3,73,false,0.25,10,"None",311.5549963,33.9714572,11.2,0.678,,0,0
Dave,2,3,103,true,0.05,10,"22234+3228",335.8726117,32.4583384,12.4,0.538,,0,0
Pat,2,3,126,false,0.3,10,"23409+2022",355.215343,20.3658181,11.5,0.932,,0,0
Leon,2,3,131,false,0.08,10,"23350+0136",353.7525891,1.6058483,9.7,0.844,,0,0
Sophia,2,3,148,false,0.4,10,"23506+0957",357.6538329,9.9492276,8.7,0.722,,0,0
Kalee,2,3,221,true,0.1,10,"20182+2912",304.5563133,29.2037276,12.5,0.695,,0,0
Scott,2,3,242,false,0.35,10,"None",323.0925844,24.5614253,11.9,0.883,,0,0

